cross,fert,mi,fert_ln,fert_sqrt,fert_sq,mi_sq,mi_sqrt,mi_ln,,,,,,,,,,,,
L31-B8 ,86.94388049,118,4.465262859,9.324370246,7559.238355,13924,10.86278049,4.770684624,,,,L31-B8 ,86.94388049,118,4.465262859,9.324370246,7559.238355,13924,10.86278049,4.770684624
B8-L31 ,43.94851738,118,3.783018889,6.629367796,1931.47218,13924,10.86278049,4.770684624,,,,B8-L31 ,43.94851738,118,3.783018889,6.629367796,1931.47218,13924,10.86278049,4.770684624
L7-B8 ,91.99284512,117,4.521710804,9.591290065,8462.683553,13689,10.81665383,4.762173935,,,,L7-B8 ,91.99284512,117,4.521710804,9.591290065,8462.683553,13689,10.81665383,4.762173935
B8-L7 ,28.15965427,117,3.337890254,5.306567089,792.9661286,13689,10.81665383,4.762173935,,,,B8-L7 ,28.15965427,117,3.337890254,5.306567089,792.9661286,13689,10.81665383,4.762173935
L1-B8 ,78.81241565,111,4.367070543,8.877635702,6211.396861,12321,10.53565375,4.709530201,,,,L1-B8 ,78.81241565,111,4.367070543,8.877635702,6211.396861,12321,10.53565375,4.709530201
B8-L1 ,34.21652422,111,3.532708692,5.849489227,1170.77053,12321,10.53565375,4.709530201,,,,B8-L1 ,34.21652422,111,3.532708692,5.849489227,1170.77053,12321,10.53565375,4.709530201
B8-M13 ,74.72222222,94,4.313777534,8.644201653,5583.410493,8836,9.695359715,4.543294782,,,,B8-M13 ,74.72222222,94,4.313777534,8.644201653,5583.410493,8836,9.695359715,4.543294782
M13-B8 ,38.17805777,94,3.642260947,6.178839516,1457.564095,8836,9.695359715,4.543294782,,,,M13-B8 ,38.17805777,94,3.642260947,6.178839516,1457.564095,8836,9.695359715,4.543294782
B8-M5 ,86.76470588,93,4.463199925,9.314757425,7528.114186,8649,9.643650761,4.532599493,,,,B8-M5 ,86.76470588,93,4.463199925,9.314757425,7528.114186,8649,9.643650761,4.532599493
M5-B8 ,47.81754799,93,3.867392685,6.915023354,2286.517896,8649,9.643650761,4.532599493,,,,M5-B8 ,47.81754799,93,3.867392685,6.915023354,2286.517896,8649,9.643650761,4.532599493
B8-U77 ,1.36009636,81,0.30755555,1.166231692,1.849862108,6561,9,4.394449155,,,,B8-U77 ,1.36009636,81,0.30755555,1.166231692,1.849862108,6561,9,4.394449155
U77-B8 ,0.529100529,81,-0.636576829,0.727392967,0.27994737,6561,9,4.394449155,,,,U77-B8 ,0.529100529,81,-0.636576829,0.727392967,0.27994737,6561,9,4.394449155
U94-L31,67.96,76,4.218919297,8.243785538,4618.5616,5776,8.717797887,4.33073334,,,,U94-L31,67.96,76,4.218919297,8.243785538,4618.5616,5776,8.717797887,4.33073334
L31-U94,33.77,76,3.519572834,5.81119609,1140.4129,5776,8.717797887,4.33073334,,,,L31-U94,33.77,76,3.519572834,5.81119609,1140.4129,5776,8.717797887,4.33073334
L56-U94,38.42,73,3.648578157,6.198386887,1476.0964,5329,8.544003745,4.290459441,,,,L56-U94,38.42,73,3.648578157,6.198386887,1476.0964,5329,8.544003745,4.290459441
U106-L7 ,31.1323764,73,3.438248319,5.579639451,969.2248603,5329,8.544003745,4.290459441,,,,U106-L7 ,31.1323764,73,3.438248319,5.579639451,969.2248603,5329,8.544003745,4.290459441
U94-L56,19,73,2.944438979,4.358898944,361,5329,8.544003745,4.290459441,,,,U94-L56,19,73,2.944438979,4.358898944,361,5329,8.544003745,4.290459441
L7-U106 ,7.848897135,73,2.06037303,2.801588324,61.60518624,5329,8.544003745,4.290459441,,,,L7-U106 ,7.848897135,73,2.06037303,2.801588324,61.60518624,5329,8.544003745,4.290459441
U106-L31 ,42.33875587,72,3.745702881,6.506823793,1792.570249,5184,8.485281374,4.276666119,,,,U39-B8 ,60.66531685,69,4.105372148,7.788794313,3680.280669,4761,8.306623863,4.234106505
L31-U106 ,28.36246201,72,3.345066511,5.325641934,804.4292513,5184,8.485281374,4.276666119,,,,B8-U39 ,50.48993722,69,3.921774053,7.105627152,2549.23376,4761,8.306623863,4.234106505
U39-B8 ,60.66531685,69,4.105372148,7.788794313,3680.280669,4761,8.306623863,4.234106505,,,,U50-B8,87.17634567,67,4.467933029,9.336827388,7599.715244,4489,8.185352772,4.204692619
B8-U39 ,50.48993722,69,3.921774053,7.105627152,2549.23376,4761,8.306623863,4.234106505,,,,B8-U50,71.64005648,67,4.271654366,8.464044924,5132.297692,4489,8.185352772,4.204692619
U50-B8,87.17634567,67,4.467933029,9.336827388,7599.715244,4489,8.185352772,4.204692619,,,,K1-B8 ,2.732240437,67,1.005121946,1.652949012,7.465137806,4489,8.185352772,4.204692619
B8-U50,71.64005648,67,4.271654366,8.464044924,5132.297692,4489,8.185352772,4.204692619,,,,B8-K1 ,0.529100529,67,-0.636576829,0.727392967,0.27994737,4489,8.185352772,4.204692619
U1-B8 ,2.732240437,67,1.005121946,1.652949012,7.465137806,4489,8.185352772,4.204692619,,,,B8-U38,98.37398374,66,4.588776376,9.918365981,9677.440677,4356,8.124038405,4.189654742
B8-U1 ,0.529100529,67,-0.636576829,0.727392967,0.27994737,4489,8.185352772,4.204692619,,,,U38-B8,79.12898059,66,4.371079187,8.895447183,6261.395569,4356,8.124038405,4.189654742
B8-U38,98.37398374,66,4.588776376,9.918365981,9677.440677,4356,8.124038405,4.189654742,,,,,,,,,,,,
U38-B8,79.12898059,66,4.371079187,8.895447183,6261.395569,4356,8.124038405,4.189654742,,,,,,,,,,,,
U106-L1 ,32.62626263,64,3.485117566,5.711940356,1064.473013,4096,8,4.158883083,,,,,,,,,,,,
L1-U106 ,12.42724868,64,2.519891536,3.525230302,154.4365098,4096,8,4.158883083,,,,,,,,,,,,
L7-U1 ,41.44728238,63,3.724422316,6.437956382,1717.877217,3969,7.937253933,4.143134726,,,,,,,,,,,,
U1-L7 ,20.38162783,63,3.014633899,4.514601625,415.410753,3969,7.937253933,4.143134726,,,,,,,,,,,,
L7-U39 ,33.72643617,62,3.518281986,5.807446614,1137.472497,3844,7.874007874,4.127134385,,,,,,,,,,,,
L31-U1 ,33.30174656,62,3.505609845,5.770766549,1109.006324,3844,7.874007874,4.127134385,,,,,,,,,,,,
U1-L31 ,31.1887019,62,3.440055911,5.584684584,972.7351262,3844,7.874007874,4.127134385,,,,,,,,,,,,
U39-L7 ,16.01909995,62,2.773781757,4.002386782,256.6115632,3844,7.874007874,4.127134385,,,,,,,,,,,,
